[3][34] = 0; 2, 3
[3][35] = 0; 2, 2
[3][36] = 0; 2, 4
[3][37] = 0; 2, 2
[3][38] = 0; 2, 4
[3][39] = 0; 2, 4
[3][40] = 0; 2, 3
[3][41] = 0; 2, 1
[3][42] = 1; 2, 2
[3][43] = 0; 2, 3
[3][44] = 0; 2, 3
[3][45] = 0; 2, 4
[3][46] = 0; 2, 1
[3][47] = 0; 2, 1
[3][48] = 0; 2, 3
[3][49] = 0; 2, 3
[3][50] = 0; 2, 2
[3][51] = 0; 2, 4
[3][52] = 0; 2, 2
[3][53] = 0; 2, 2
[3][54] = 0; 2, 2
[3][55] = 0; 2, 4
[3][56] = 0; 2, 3
[3][57] = 0; 2, 1
[3][58] = 0; 2, 4
[3][59] = 0; 2, 3
[3][60] = 0; 2, 1
[3][61] = 0; 2, 0
[3][62] = 0; 2, 0
[3][63] = 1; 2, 2
[3][64] = 0; 2, 3
[3][65] = 0; 2, 1
[3][66] = 0; 2, 0
[3][67] = 0; 2, 2
[3][68] = 0; 2, 4
[3][69] = 0; 2, 3
[3][70] = 0; 2, 1
[3][71] = 0; 2, 0
[3][72] = 0; 2, 0
[3][73] = 0; 2, 4
[3][74] = 0; 2, 0
[3][75] = 0; 2, 0
[3][76] = 0; 2, 1
[3][77] = 0; 2, 1
[3][78] = 0; 2, 3
[3][79] = 0; 2, 3
[3][80] = 0; 2, 4
[3][81] = 0; 2, 3
[3][82] = 0; 2, 4
[3][83] = 0; 2, 4
[3][84] = 0; 2, 1
[3][85] = 0; 2, 0
[3][86] = 0; 2, 1
[3][87] = 0; 2, 1
[3][88] = 0; 2, 1
[3][89] = 0; 2, 3
[3][90] = 0; 2, 4
[3][91] = 0; 2, 4
[3][92] = 0; 2, 3
[3][93] = 0; 2, 2
[3][94] = 0; 2, 3
[3][95] = 0; 2, 3
[3][96] = 0; 2, 2
[3][97] = 0; 2, 4
[3][98] = 0; 2, 3
[3][99] = 0; 2, 0
[3][100] = 0; 2, 4
[3][101] = 0; 2, 3
[3][102] = 0; 2, 4
[3][103] = 0; 2, 0
[3][104] = 0; 2, 2
[4][5] = 0; 2, 4
[4][6] = 0; 2, 3
[4][7] = 0; 2, 4
[4][8] = 0; 2, 3
[4][9] = 0; 2, 2
[4][10] = 0; 2, 4
[4][11] = 0; 2, 0
[4][12] = 0; 2, 1
[4][13] = 0; 2, 2
[4][14] = 0; 2, 1
[4][15] = 0; 2, 4
[4][16] = 0; 2, 0
[4][17] = 0; 2, 2
[4][18] = 0; 2, 1
[4][19] = 0; 2, 1
[4][20] = 0; 2, 2
[4][21] = 0; 2, 4
[4][22] = 0; 2, 2
[4][23] = 0; 2, 1
[4][24] = 0; 2, 2
[4][25] = 0; 2, 2
[4][26] = 0; 2, 1
[4][27] = 0; 2, 1
[4][28] = 0; 2, 3
[4][29] = 0; 2, 0
[4][30] = 0; 2, 3
[4][31] = 0; 2, 2
[4][32] = 0; 2, 1
[4][33] = 0; 2, 1
[4][34] = 0; 2, 3
[4][35] = 0; 2, 2
[4][36] = 0; 2, 4
[4][37] = 0; 2, 2
[4][38] = 0; 2, 4
[4][39] = 0; 2, 4
[4][40] = 0; 2, 3
[4][41] = 0; 2, 1
[4][42] = 0; 2, 2
[4][43] = 0; 2, 3
[4][44] = 0; 2, 3
[4][45] = 0; 2, 4
[4][46] = 0; 2, 1
[4][47] = 0; 2, 1
[4][48] = 0; 2, 3
[4][49] = 0; 2, 3
[4][50] = 0; 2, 2
[4][51] = 0; 2, 4
[4][52] = 0; 2, 2
[4][53] = 0; 2, 2
[4][54] = 0; 2, 2
[4][55] = 0; 2, 4
[4][56] = 0; 2, 3
[4][57] = 0; 2, 1
[4][58] = 0; 2, 4
[4][59] = 0; 2, 3
[4][60] = 0; 2, 1
[4][61] = 0; 2, 0
[4][62] = 0; 2, 0
[4][63] = 0; 2, 2
[4][64] = 0; 2, 3
[4][65] = 0; 2, 1
[4][66] = 0; 2, 0
[4][67] = 0; 2, 2
[4][68] = 0; 2, 4
[4][69] = 0; 2, 3
[4][70] = 0; 2, 1
[4][71] = 0; 2, 0
[4][72] = 0; 2, 0
[4][73] = 0; 2, 4
[4][74] = 0; 2, 0
[4][75] = 0; 2, 0
[4][76] = 0; 2, 1
[4][77] = 0; 2, 1
[4][78] = 0; 2, 3
[4][79] = 0; 2, 3
[4][80] = 0; 2, 4
[4][81] = 0; 2, 3
[4][82] = 0; 2, 4
[4][83] = 0; 2, 4
[4][84] = 0; 2, 1
[4][85] = 0; 2, 0
[4][86] = 0; 2, 1
[4][87] = 0; 2, 1
[4][88] = 0; 2, 1
[4][89] = 0; 2, 3
[4][90] = 0; 2, 4
[4][91] = 0; 2, 4
[4][92] = 0; 2, 3
[4][93] = 0; 2, 2
[4][94] = 0; 2, 3
[4][95] = 0; 2, 3
[4][96] = 0; 2, 2
[4][97] = 0; 2, 4
[4][98] = 0; 2, 3
[4][99] = 0; 2, 0
[4][100] = 0; 2, 4
[4][101] = 0; 2, 3
[4][102] = 0; 2, 4
[4][103] = 0; 2, 0
[4][104] = 0; 2, 2
[5][6] = 0; 4, 3
[5][7] = 0; 4, 4
[5][8] = 0; 4, 3
[5][9] = 0; 4, 2
[5][10] = 0; 4, 4
[5][11] = 0; 4, 0
[5][12] = 0; 4, 1
[5][13] = 0; 4, 2
[5][14] = 0; 4, 1
[5][15] = 0; 4, 4
[5][16] = 0; 4, 0
[5][17] = 0; 4, 2
[5][18] = 0; 4, 1
[5][19] = 0; 4, 1
[5][20] = 0; 4, 2
[5][21] = 0; 4, 4
[5][22] = 0; 4, 2
[5][23] = 0; 4, 1
[5][24] = 0; 4, 2
[5][25] = 0; 4, 2
[5][26] = 0; 4, 1
[5][27] = 0; 4, 1
[5][28] = 0; 4, 3
[5][29] = 0; 4, 0
[5][30] = 0; 4, 3
[5][31] = 0; 4, 2
[5][32] = 0; 4, 1
[5][33] = 0; 4, 1
[5][34] = 0; 4, 3
[5][35] = 0; 4, 2
[5][36] = 0; 4, 4
[5][37] = 0; 4, 2
[5][38] = 0; 4, 4
[5][39] = 0; 4, 4
[5][40] = 0; 4, 3
[5][41] = 0; 4, 1
[5][42] = 0; 4, 2
[5][43] = 0; 4, 3
[5][44] = 0; 4, 3
[5][45] = 0; 4, 4
[5][46] = 0; 4, 1
[5][47] = 0; 4, 1
[5][48] = 0; 4, 3
[5][49] = 0; 4, 3
[5][50] = 0; 4, 2
[5][51] = 0; 4, 4
[5][52] = 0; 4, 2
[5][53] = 0; 4, 2
[5][54] = 0; 4, 2
[5][55] = 0; 4, 4
[5][56] = 0; 4, 3
[5][57] = 0; 4, 1
[5][58] = 0; 4, 4
[5][59] = 0; 4, 3
[5][60] = 0; 4, 1
[5][61] = 0; 4, 0
[5][62] = 0; 4, 0
[5][63] = 0; 4, 2
[5][64] = 0; 4, 3
[5][65] = 0; 4, 1
[5][66] = 0; 4, 0
[5][67] = 0; 4, 2
[5][68] = 0; 4, 4
[5][69] = 0; 4, 3
[5][70] = 0; 4, 1
[5][71] = 0; 4, 0
[5][72] = 0; 4, 0
[5][73] = 0; 4, 4
[5][74] = 0; 4, 0
[5][75] = 0; 4, 0
[5][76] = 0; 4, 1
[5][77] = 0; 4, 1
[5][78] = 0; 4, 3
[5][79] = 0; 4, 3
[5][80] = 0; 4, 4
[5][81] = 0; 4, 3
[5][82] = 0; 4, 4
[5][83] = 0; 4, 4
[5][84] = 0; 4, 1
[5][85] = 0; 4, 0
[5][86] = 0; 4, 1
[5][87] = 0; 4, 1
[5][88] = 0; 4, 1
[5][89] = 0; 4, 3
[5][90] = 0; 4, 4
[5][91] = 0; 4, 4
[5][92] = 0; 4, 3
[5][93] = 0; 4, 2
[5][94] = 0; 4, 3
[5][95] = 0; 4, 3
[5][96] = 0; 4, 2
[5][97] = 0; 4, 4
[5][98] = 0; 4, 3
[5][99] = 0; 4, 0
[5][100] = 0; 4, 4
[5][101] = 0; 4, 3
[5][102] = 0; 4, 4
[5][103] = 0; 4, 0
[5][104] = 0; 4, 2
[6][7] = 0; 3, 4
[6][8] = 0; 3, 3
[6][9] = 0; 3, 2
[6][10] = 0; 3, 4
[6][11] = 0; 3, 0
[6][12] = 0; 3, 1
[6][13] = 0; 3, 2
[6][14] = 0; 3, 1
[6][15] = 0; 3, 4
[6][16] = 0; 3, 0
[6][17] = 0; 3, 2
[6][18] = 0; 3, 1
[6][19] = 0; 3, 1
[6][20] = 0; 3, 2
[6][21] = 0; 3, 4
[6][22] = 0; 3, 2
[6][23] = 0; 3, 1
[6][24] = 0; 3, 2
[6][25] = 0; 3, 2
[6][26] = 0; 3, 1
[6][27] = 0; 3, 1
[6][28] = 0; 3, 3
[6][29] = 0; 3, 0
[6][30] = 0; 3, 3
[6][31] = 0; 3, 2
[6][32] = 0; 3, 1
[6][33] = 0; 3, 1
[6][34] = 0; 3, 3
[6][35] = 0; 3, 2
[6][36] = 0; 3, 4
[6][37] = 0; 3, 2
[6][38] = 0; 3, 4
[6][39] = 0; 3, 4
[6][40] = 0; 3, 3
[6][41] = 0; 3, 1
[6][42] = 0; 3, 2
[6][43] = 0; 3, 3
[6][44] = 0; 3, 3
[6][45] = 0; 3, 4
[6][46] = 0; 3, 1
[6][47] = 0; 3, 1
[6][48] = 0; 3, 3
[6][49] = 0; 3, 3
[6][50] = 0; 3, 2
[6][51] = 0; 3, 4
[6][52] = 0; 3, 2
[6][53] = 0; 3, 2
[6][54] = 0; 3, 2
[6][55] = 0; 3, 4
[6][56] = 0; 3, 3
[6][57] = 0; 3, 1
[6][58] = 0; 3, 4
[6][59] = 0; 3, 3
[6][60] = 0; 3, 1
[6][61] = 0; 3, 0
[6][62] = 0; 3, 0
[6][63] = 0; 3, 2
[6][64] = 0; 3, 3
[6][65] = 0; 3, 1
[6][66] = 0; 3, 0
[6][67] = 0; 3, 2
[6][68] = 0; 3, 4
[6][69] = 0; 3, 3
[6][70] = 0; 3, 1
[6][71] = 0; 3, 0
[6][72] = 0; 3, 0
[6][73] = 0; 3, 4
[6][74] = 0; 3, 0
[6][75] = 0; 3, 0
[6][76] = 0; 3, 1
[6][77] = 0; 3, 1
[6][78] = 0; 3, 3
[6][79] = 0; 3, 3
[6][80] = 0; 3, 4
[6][81] = 0; 3, 3
[6][82] = 0; 3, 4
[6][83] = 0; 3, 4
[6][84] = 0; 3, 1
[6][85] = 0; 3, 0
[6][86] = 0; 3, 1
[6][87] = 0; 3, 1
[6][88] = 0; 3, 1
[6][89] = 0; 3, 3
[6][90] = 0; 3, 4
[6][91] = 0; 3, 4
[6][92] = 0; 3, 3
[6][93] = 0; 3, 2
[6][94] = 0; 3, 3
[6][95] = 0; 3, 3
[6][96] = 0; 3, 2
[6][97] = 0; 3, 4
[6][98] = 1; 3, 3
[6][99] = 0; 3, 0
[6][100] = 0; 3, 4
[6][101] = 0; 3, 3
[6][102] = 0; 3, 4
[6][103] = 0; 3, 0
[6][104] = 0; 3, 2
[7][8] = 0; 4, 3
[7][9] = 0; 4, 2
[7][10] = 0; 4, 4
[7][11] = 0; 4, 0
[7][12] = 0; 4, 1
[7][13] = 0; 4, 2
[7][14] = 0; 4, 1
[7][15] = 0; 4, 4
[7][16] = 0; 4, 0
[7][17] = 0; 4, 2
[7][18] = 0; 4, 1
[7][19] = 0; 4, 1
[7][20] = 0; 4, 2
[7][21] = 0; 4, 4
[7][22] = 0; 4, 2
[7][23] = 0; 4, 1
[7][24] = 0; 4, 2
[7][25] = 0; 4, 2
[7][26] = 0; 4, 1
[7][27] = 0; 4, 1
[7][28] = 0; 4, 3
[7][29] = 0; 4, 0
[7][30] = 0; 4, 3
[7][31] = 0; 4, 2
[7][32] = 0; 4, 1
[7][33] = 0; 4, 1
[7][34] = 0; 4, 3
[7][35] = 0; 4, 2
[7][36] = 0; 4, 4
[7][37] = 0; 4, 2
[7][38] = 0; 4, 4
[7][39] = 0; 4, 4
[7][40] = 0; 4, 3
[7][41] = 0; 4, 1
[7][42] = 0; 4, 2
[7][43] = 0; 4, 3
[7][44] = 0; 4, 3
[7][45] = 0; 4, 4
[7][46] = 0; 4, 1
[7][47] = 0; 4, 1
[7][48] = 0; 4, 3
[7][49] = 0; 4, 3
[7][50] = 0; 4, 2
[7][51] = 0; 4, 4
[7][52] = 0; 4, 2
[7][53] = 0; 4, 2
[7][54] = 0; 4, 2
[7][55] = 0; 4, 4
[7][56] = 0; 4, 3
[7][57] = 0; 4, 1
[7][58] = 0; 4, 4
[7][59] = 0; 4, 3
[7][60] = 0; 4, 1
[7][61] = 0; 4, 0
[7][62] = 0; 4, 0
[7][63] = 0; 4, 2
[7][64] = 0; 4, 3
[7][65] = 0; 4, 1
[7][66] = 0; 4, 0
[7][67] = 0; 4, 2
[7][68] = 0; 4, 4
[7][69] = 0; 4, 3
[7][70] = 0; 4, 1
[7][71] = 0; 4, 0
[7][72] = 0; 4, 0
[7][73] = 0; 4, 4
[7][74] = 0; 4, 0
[7][75] = 0; 4, 0
[7][76] = 0; 4, 1
[7][77] = 0; 4, 1
[7][78] = 0; 4, 3
[7][79] = 0; 4, 3
[7][80] = 0; 4, 4
[7][81] = 0; 4, 3
[7][82] = 1; 4, 4
[7][83] = 0; 4, 4
[7][84] = 0; 4, 1
[7][85] = 0; 4, 0
[7][86] = 0; 4, 1
[7][87] = 0; 4, 1
[7][88] = 0; 4, 1
[7][89] = 0; 4, 3
[7][90] = 0; 4, 4
[7][91] = 0; 4, 4
[7][92] = 0; 4, 3
[7][93] = 0; 4, 2
[7][94] = 0; 4, 3
[7][95] = 0; 4, 3
[7][96] = 0; 4, 2
[7][97] = 0; 4, 4
[7][98] = 0; 4, 3
[7][99] = 0; 4, 0
[7][100] = 0; 4, 4
[7][101] = 0; 4, 3
[7][102] = 0; 4, 4
[7][103] = 0; 4, 0
[7][104] = 0; 4, 2
[8][9] = 0; 3, 2
[8][10] = 0; 3, 4
[8][11] = 0; 3, 0
[8][12] = 0; 3, 1
[8][13] = 0; 3, 2
[8][14] = 0; 3, 1
[8][15] = 0; 3, 4
[8][16] = 0; 3, 0
[8][17] = 0; 3, 2
[8][18] = 0; 3, 1
[8][19] = 0; 3, 1
[8][20] = 0; 3, 2
[8][21] = 0; 3, 4
[8][22] = 0; 3, 2
[8][23] = 0; 3, 1
[8][24] = 0; 3, 2
[8][25] = 0; 3, 2
[8][26] = 0; 3, 1
[8][27] = 0; 3, 1
[8][28] = 1; 3, 3
[8][29] = 0; 3, 0
[8][30] = 0; 3, 3
[8][31] = 0; 3, 2
[8][32] = 0; 3, 1
[8][33] = 0; 3, 1
[8][34] = 1; 3, 3
[8][35] = 0; 3, 2
[8][36] = 0; 3, 4
[8][37] = 0; 3, 2
[8][38] = 0; 3, 4
[8][39] = 0; 3, 4
[8][40] = 0; 3, 3
[8][41] = 0; 3, 1
[8][42] = 0; 3, 2
[8][43] = 0; 3, 3
[8][44] = 0; 3, 3
[8][45] = 0; 3, 4
[8][46] = 0; 3, 1
[8][47] = 0; 3, 1
[8][48] = 0; 3, 3
[8][49] = 0; 3, 3
[8][50] = 0; 3, 2
[8][51] = 0; 3, 4
[8][52] = 0; 3, 2
[8][53] = 0; 3, 2
[8][54] = 0; 3, 2
[8][55] = 0; 3, 4
[8][56] = 0; 3, 3
[8][57] = 0; 3, 1
[8][58] = 0; 3, 4
[8][59] = 0; 3, 3
[8][60] = 0; 3, 1
[8][61] = 0; 3, 0
[8][62] = 0; 3, 0
[8][63] = 0; 3, 2
[8][64] = 0; 3, 3
[8][65] = 0; 3, 1
[8][66] = 0; 3, 0
[8][67] = 0; 3, 2
[8][68] = 0; 3, 4
[8][69] = 0; 3, 3
[8][70] = 0; 3, 1
[8][71] = 0; 3, 0
[8][72] = 0; 3, 0
[8][73] = 0; 3, 4
[8][74] = 0; 3, 0
[8][75] = 0; 3, 0
[8][76] = 0; 3, 1
[8][77] = 0; 3, 1
[8][78] = 0; 3, 3
[8][79] = 0; 3, 3
[8][80] = 0; 3, 4
[8][81] = 0; 3, 3
[8][82] = 0; 3, 4
[8][83] = 0; 3, 4
[8][84] = 0; 3, 1
[8][85] = 0; 3, 0
[8][86] = 0; 3, 1
[8][87] = 0; 3, 1
[8][88] = 0; 3, 1
[8][89] = 0; 3, 3
[8][90] = 0; 3, 4
[8][91] = 0; 3, 4
[8][92] = 0; 3, 3
[8][93] = 0; 3, 2
[8][94] = 0; 3, 3
[8][95] = 0; 3, 3
[8][96] = 0; 3, 2
[8][97] = 0; 3, 4
[8][98] = 0; 3, 3
[8][99] = 0; 3, 0
[8][100] = 0; 3, 4
[8][101] = 0; 3, 3
[8][102] = 0; 3, 4
[8][103] = 0; 3, 0
[8][104] = 0; 3, 2
[9][10] = 0; 2, 4
[9][11] = 0; 2, 0
[9][12] = 0; 2, 1
[9][13] = 0; 2, 2
[9][14] = 0; 2, 1
[9][15] = 0; 2, 4
[9][16] = 0; 2, 0
[9][17] = 0; 2, 2
[9][18] = 0; 2, 1
[9][19] = 0; 2, 1
[9][20] = 0; 2, 2
[9][21] = 0; 2, 4
[9][22] = 0; 2, 2
[9][23] = 0; 2, 1
[9][24] = 0; 2, 2
[9][25] = 0; 2, 2
[9][26] = 0; 2, 1
[9][27] = 0; 2, 1
[9][28] = 0; 2, 3
[9][29] = 0; 2, 0
[9][30] = 0; 2, 3
[9][31] = 0; 2, 2
[9][32] = 0; 2, 1
[9][33] = 0; 2, 1
[9][34] = 0; 2, 3
[9][35] = 0; 2, 2
[9][36] = 0; 2, 4
[9][37] = 0; 2, 2
[9][38] = 0; 2, 4
[9][39] = 0; 2, 4
[9][40] = 0; 2, 3
[9][41] = 0; 2, 1
[9][42] = 0; 2, 2
